v_single	v_exponential	v_powerlaw	n_R_single	n_R_exponential	n_R_powerlaw
2.639999999999990271e-02	1.163999999999993339e-02	2.639999999999990271e-02	2.916018662519419991e+00	1.688815622622359403e+00	6.302725968436001303e+00
2.649999999999989864e-02	1.164999999999993298e-02	2.649999999999989864e-02	2.937336814621388736e+00	1.690224291155301817e+00	6.469287469287297476e+00
2.659999999999990150e-02	1.165999999999993257e-02	2.659999999999990150e-02	2.958968963703293209e+00	1.691636302008294956e+00	6.645275391611751736e+00
2.669999999999989743e-02	1.166999999999993216e-02	2.669999999999989743e-02	2.980922098569135592e+00	1.693051667090853307e+00	6.831513260530226894e+00
2.679999999999990029e-02	1.167999999999993176e-02	2.679999999999990029e-02	3.003203416978088125e+00	1.694470398369140263e+00	7.028923406534349994e+00
2.689999999999989622e-02	1.168999999999993135e-02	2.689999999999989622e-02	3.025820333512618365e+00	1.695892507866305632e+00	7.238542241855106418e+00
2.699999999999989908e-02	1.169999999999993094e-02	2.699999999999989908e-02	3.048780487804855444e+00	1.697318007662825590e+00	7.461538461538235190e+00
2.709999999999989501e-02	1.170999999999993053e-02	2.709999999999989501e-02	3.072091753140336223e+00	1.698746909896844848e+00	7.699234844025642843e+00
2.719999999999989787e-02	1.171999999999993013e-02	2.719999999999989787e-02	3.095762245459524831e+00	1.700179226764520379e+00	7.953134510042343841e+00
2.729999999999989380e-02	1.172999999999992972e-02	2.729999999999989380e-02	3.119800332778677188e+00	1.701614970520369585e+00	8.224952741020498337e+00
2.739999999999989666e-02	1.173999999999992931e-02	2.739999999999989666e-02	3.144214645053077462e+00	1.703054153477618460e+00	8.516655780535293374e+00
2.749999999999989259e-02	1.174999999999992890e-02	2.749999999999989259e-02	3.169014084507016271e+00	1.704496788008555086e+00	8.830508474575925248e+00
2.759999999999989545e-02	1.175999999999992850e-02	2.759999999999989545e-02	3.194207836456532945e+00	1.705942886544883130e+00	9.169133192388647657e+00
2.769999999999989138e-02	1.176999999999992809e-02	2.769999999999989138e-02	3.219805380652519755e+00	1.707392461578078446e+00	9.535583272193280280e+00
2.779999999999989424e-02	1.177999999999992768e-02	2.779999999999989424e-02	3.245816503173660106e+00	1.708845525659750564e+00	9.933435348125049913e+00
2.789999999999989017e-02	1.178999999999992727e-02	2.789999999999989017e-02	3.272251308900495204e+00	1.710302091402003510e+00	1.036690647481965222e+01
2.799999999999989303e-02	1.179999999999992687e-02	2.799999999999989303e-02	3.299120234604077329e+00	1.711762171477800631e+00	1.084100418409990141e+01
2.809999999999988896e-02	1.180999999999992646e-02	2.809999999999988896e-02	3.326434062684771931e+00	1.713225778621333628e+00	1.136172080772547588e+01
2.819999999999989182e-02	1.181999999999992605e-02	2.819999999999989182e-02	3.354203935599255004e+00	1.714692925628390485e+00	1.193628808864202284e+01
2.829999999999988775e-02	1.182999999999992564e-02	2.829999999999988775e-02	3.382441371016204457e+00	1.716163625356730504e+00	1.257351509250168853e+01
2.839999999999989061e-02	1.183999999999992524e-02	2.839999999999989061e-02	3.411158277744056555e+00	1.717637890726459116e+00	1.328424304840290660e+01
2.849999999999988654e-02	1.184999999999992483e-02	2.849999999999988654e-02	3.440366972477031826e+00	1.719115734720405131e+00	1.408196721311380273e+01
2.859999999999988940e-02	1.185999999999992442e-02	2.859999999999988940e-02	3.470080197408974332e+00	1.720597170384504215e+00	1.498370197904436552e+01
2.869999999999988533e-02	1.186999999999992401e-02	2.869999999999988533e-02	3.500311138767856267e+00	1.722082210828180360e+00	1.601120797011083141e+01
2.879999999999988819e-02	1.187999999999992361e-02	2.879999999999988819e-02	3.531073446327649634e+00	1.723570869224734237e+00	1.719277108433596624e+01
